#
# Database of MicroSoft specific data needed by the
# AFM compiler for AFM to PFM conversion.
# Fields are as follows:
#   1.) Adobe PostScript name of the face.
#   2.) MicroSoft name of the face. 
#   3.) MicroSoft family name:
#         Swiss = SansSerif
#         Roman = Serif
#         Modern = Monospaced
#         Script = handwriting
#         Decorative = Special 
#

#
# Windows 3.5 Japanese fonts.
#

#
# Adobe Fonts.  The following typefaces are defined in
# PS driver internal PFM data.
#

NIS-S7-RKSJ-H:NIS S7:Modern
NIS-S7-RKSJ-V:@NIS S7:Modern

#
# Ricoh Fonts
#

RicohGothicB-RKSJ-H:RicohGothicB:Modern
RicohGothicB-RKSJ-V:@RicohGothicB:Modern
RicohGothicEB-RKSJ-H:RicohGothicEB:Modern
RicohGothicEB-RKSJ-V:@RicohGothicEB:Modern
RicohGothicM-RKSJ-H:RicohGothicM:Modern
RicohGothicM-RKSJ-V:@RicohGothicM:Modern
RicohGyosho-RKSJ-H:RicohGyosho:Script
RicohGyosho-RKSJ-V:@RicohGyosho:Script
RicohKaisho-RKSJ-H:RicohKaisho:Roman
RicohKaisho-RKSJ-V:@RicohKaisho:Roman
RicohKyokasho-RKSJ-H:RicohKyokasho:Roman
RicohKyokasho-RKSJ-V:@RicohKyokasho:Roman
RicohMGothicB-RKSJ-H:RicohMGothicB:Modern
RicohMGothicB-RKSJ-V:@RicohMGothicB:Modern
RicohMGothicL-RKSJ-H:RicohMGothicL:Modern
RicohMGothicL-RKSJ-V:@RicohMGothicL:Modern
RicohMGothicM-RKSJ-H:RicohMGothicM:Modern
RicohMGothicM-RKSJ-V:@RicohMGothicM:Modern
RicohMinchoB-RKSJ-H:RicohMinchoB:Roman
RicohMinchoB-RKSJ-V:@RicohMinchoB:Roman
RicohMinchoEB-RKSJ-H:RicohMinchoEB:Roman
RicohMinchoEB-RKSJ-V:@RicohMinchoEB:Roman
RicohMinchoL-RKSJ-H:RicohMinchoL:Roman
RicohMinchoL-RKSJ-V:@RicohMinchoL:Roman
